X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;Z1;Z2;Z3;Z4;Z5;Z6;Z7;Z8;Z9;Z10;Z11;Z12;Z13;Z14;Z15;Z16;Z17;Z18;Z19;Z20;Z21;Z22;Z23;Z24;Z25;Z26;Z27;Z28;Z29;Y1;Y2;Y3
0;0;0;0;0;0;0;0;0;0;0;0;0;-0.6;-0.4;0;0;0;0;0;0;0;0;0;0;-0.4;0;0;0;0;0;0;0;0;0;0;1;0;0;0.8;0;0;0;0;0;0.6;0;0.4;0;0;0;0;0;0.4;0;0.4;0;0;58.82352941;45.58823529;66.02564103
0;-1;-1;0;0;0;0;0;0;-0.6;-0.6;-0.6;-0.6;-0.6;0;0;0;-1;0;0;-1;0;0;-1;-1;0;0;0;0;0.6;0;0;1;0.6;1;0.4;1;1;0;0;0;0;0;1;1;1;0;1;0.8;0;1;1;0;0;1;1;1;1;66.66666667;91.17647059;94.23076923
0;-0.8;-0.8;-0.6;-0.8;-0.8;-0.8;-0.8;0;-0.8;-0.8;-0.6;-0.6;-0.6;0;0;-0.6;-0.6;0;0;0;0;0;-0.8;0;0;0;-0.6;-0.4;0.8;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0.8;0.2;0;0;0.8;0.8;0.8;0.2;0.6;0;0.4;0.8;0.6;0;0;35.29411765;64.70588235;61.53846154
0;-1;-1;-1;-0.4;-0.2;-0.8;-1;0;-0.4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.29411765;61.76470588;65.38461538
0;-1;-0.2;-0.2;-0.2;-0.8;-0.4;-0.8;-0.8;-0.4;-0.4;-0.6;-0.2;-0.6;0;-1;0;-1;-0.6;0;0;0;0;0;-0.6;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;1;0;0;0.4;0.4;0.4;0.6;1;0;0.6;0.6;1;0.6;59.80392157;80.88235294;48.71794872
-0.4;-0.4;-1;-0.4;0;-1;-0.4;-1;-1;-1;-0.6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;48.03921569;50;29.48717949
0;-0.6;-0.6;0;0;0;0;0;0;-0.6;-0.8;-0.6;-0.2;-0.2;-1;0;0;-1;-0.8;0;-0.6;-0.6;0;-0.6;-0.8;-0.6;0;-1;0;0.8;0;0;0.8;0.8;0.8;0.6;0.8;0.8;0;0;0;0;0;0;1;1;0;0;0.6;0;0;1;0;0;0;0.8;0;0.6;65.68627451;86.76470588;94.23076923
0;-0.8;-0.8;-0.8;-0.8;0;-0.8;-1;0;-0.8;-0.8;-0.6;-0.8;-1;-1;0;0;0;0;0;-1;0;0;0;-1;-1;-1;0;0;0.8;0;0;0;0;1;0;0;0.8;0;0;0;0;0;0;1;1;1;1;0.8;0;1;1;1;0;0;0;1;0.8;63.7254902;73.52941176;76.92307692
-0.4;-0.8;-0.4;-0.8;-0.2;0;0;0;0;0;0;-0.6;0;0;0;-0.8;0;0;0;0;-0.8;-0.8;0;-0.6;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0.2;0.6;0;0;1;0;0;0;0.8;0.8;0;44.11764706;57.35294118;65.38461538
0;-0.4;-0.6;-0.4;0;0;0;0;0;0;0;0;0;0;0;0;-1;-0.8;-0.2;0;-0.4;0;0;0;0;-0.4;0;-0.6;0;0.4;0;0;0;0;0.2;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.8;0.2;1;0.6;0;0.4;0;0;43.1372549;67.64705882;93.58974359
0;-0.2;-0.4;-0.2;0;-0.2;0;0;0;-0.2;0;0;0;-0.2;0;-0.2;0;0;0;0;0;0;0;-0.4;-0.2;-0.2;0;0;-0.2;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0.6;0;0.6;0;0.8;0.2;0;0.6;0.8;0;0;0;0.8;0.4;0;47.05882353;73.52941176;69.23076923
0;-0.8;-0.8;-0.8;-0.8;0;-0.6;-0.8;-0.8;-0.8;-0.6;-0.6;-0.6;-0.6;-0.6;0;-0.6;0;0;0;-0.6;0;0;0;-0.6;-0.6;-0.6;-0.6;-0.6;1;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0.6;0;0.6;0.6;0.6;0;0.6;0.6;0.6;0;0;0;0;0;39.21568627;73.52941176;48.71794872
0;-0.6;-0.6;-0.8;-0.6;0;-0.6;0;-0.6;-0.8;-0.6;-0.6;-0.6;-0.6;0;-0.6;-0.6;-0.6;-0.6;-0.6;-0.6;-0.6;0;0;-0.6;0;0;-0.6;-0.6;0.6;0;0;0;0;0.6;0;0.6;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0.6;0.6;0;0.6;0.6;0;0;55.88235294;75;58.33333333
